date,coin,regime,regime_confidence,hurst,quant_direction,quant_magnitude,llm_multiplier,llm_confidence,llm_uncertainty,effective_weight,position,unlock_flag,rolling_llm_edge,narrative
2026-01-15,ethereum,bull,0.44999999999999996,0.5122416873114756,long,0.8044613130714113,1.12,0.6,0.0,0.25,0.8285951524635536,False,,"Multiplier: 1.12  
Given the bull regime and strong, multi-horizon LightGBM upside (especially h=14 with high confidence and ≥2% move), the LLM qualitative signal appears to corroborate the Layer 1 long rather than introduce noise. I’m only slightly above neutral because derivatives funding has flipped mildly negative, which warns of near-term choppiness and reduces the quality of immediate follow-through. Net: modestly increase the quant position size, but not to the maximum."
2026-01-16,ethereum,bull,0.44999999999999996,0.5048572511527045,long,0.7521935174807154,0.7,0.6,0.0,0.25,0.6957790036696617,False,,"Multiplier: 0.70  
Given the quant engine is already long in a bull regime, I keep most of that exposure but only partially credit the LLM-side caution because the narrative is effectively neutral and the downside call is not strong enough to overpower trend/positioning. The LLM qualitative/secondary signals suggest a cautious/hold posture rather than a conviction sell, so I damp the magnitude by about 30% to reflect that reduced trust."
2026-01-17,ethereum,sideways,0.33,0.49731781354293214,long,0.492522197651563,0.9,0.6,0.0,0.7,0.45804564381595364,False,,"Multiplier: 0.90  
Given the long bias from the Layer 1 quant engine and a sideways regime, the LLM-side qualitative inputs are only moderately supportive rather than decisive. While derivatives and ecosystem metrics are mildly constructive (e.g., mildly positive funding, TVL up), the LGB h=7 vs h=14 directional conflict lowers conviction, so I slightly damp the LLM contribution versus the quant’s sizing."
2026-01-18,ethereum,sideways,0.33,0.49048865538866365,long,0.5,0.75,0.6,0.0,0.7,0.4125,False,,"Multiplier: 0.75  
Given the Layer 1 quant is already long but the detected regime is sideways (with higher reliance on narrative/near-term structure), I’m only partially trusting the LLM-side qualitative signal. The qualitative inputs suggest a “bounce then continuation lower” over 1–2 weeks, which conflicts with immediately bullish short-horizon checks, so the net effect is to damp the existing long rather than fully neutralize it. A 0.75 multiplier keeps meaningful participation in the quant "
2026-01-19,ethereum,sideways,0.33,0.48342452757728427,long,0.258597552112477,1.1,0.6,0.0,0.7,0.2766993807603504,False,,"Multiplier: 1.10  
Given the Layer 1 quant is already long, I’ll slightly increase exposure because the LLM-side qualitative overlay matches the multi-horizon bullish alignment (both h=7 and h=14 up) and the trend context (price above SMA30). However, the sideways regime with low regime confidence and slightly negative/mean-below funding argue against a heavy amplification—so this is only a modest trust boost rather than an aggressive one."
2026-01-20,ethereum,sideways,0.33,0.47281642882326363,long,0.24577781821667108,0.7,0.6,0.0,0.7,0.19416447639117015,False,,"Multiplier: 0.70  
The quant engine is already long but the detected sideways regime with weak Hurst/low confidence means most follow-through is fragile, so I only partially defer to the LLM’s qualitative stance. Given the LLM-side inputs are effectively neutral (no catalyst) and derivatives are mixed (latest funding slightly negative), I damp the LLM adjustment rather than neutralize it entirely. This keeps the existing quant exposure intact while limiting upside scaling until the setup shows c"
2026-01-21,ethereum,sideways,0.33,0.4634259966545136,long,1.0,1.1,0.6,0.0,0.7,1.07,False,,"Multiplier: 1.10  
Given the sideways regime with weak/no narrative catalyst, the LLM signal should only modestly modulate the already-long quant stance. The strong, high-confidence LightGBM 7–14 day upside provides corroboration, but SMA30 being a headwind and other shorter-horizon signals reduce how aggressively we scale."
2026-01-22,ethereum,sideways,0.33,0.4545684295812994,long,1.0,1.12,0.6,0.0,0.7,1.084,False,,"Multiplier: 1.12

Given the L1 quant is already long, I slightly increase exposure because the primary LightGBM h=7/h=14 signals are directionally aligned and high-confidence, suggesting medium-horizon support. However, the detected sideways regime and risk-gate context (SMA30 above price, mixed on-chain liquidity, and near-term chop from the RF check) prevent a full amplification toward 1.5."
2026-01-23,ethereum,sideways,0.33,0.4473576515476673,long,1.0,1.1,0.6,0.0,0.7,1.07,False,,"Multiplier: 1.10  
Given Layer 1 is already long and the detected sideways regime suggests we should be cautious, I’m only moderately leaning into the LLM qualitative input. The LightGBM horizons are strongly bullish with high direction agreement and lgb_confidence at 1.0, which corroborates the quant direction enough to slightly increase size, while the mildly soft derivatives/on-chain risk keeps the boost from being large."
2026-01-24,ethereum,sideways,0.33,0.4406519513202839,long,1.0,0.95,0.6,0.0,0.7,0.965,False,,"Multiplier: 0.95  
The Layer 1 engine is already long with full magnitude, and the LLM-side qualitative inputs are broadly non-contradictory (no strong bearish catalyst, slight upside ML/TVL support). However, the sideways regime (low Hurst/weak trend) plus the bearish-ish SMA30 context and only medium-strength h=14 move argue against fully trusting the LLM to increase risk. So we keep most of the quant exposure while applying a modest dampening to reflect the weaker, narrative-limited convictio"
